Name,ASIN,Best Sellers Rank,Date First Available,Item Dimensions LxWxH,Net Quantity,Generic Name,No.of ratings,Price,Rating Out of 5
"Samsung Galaxy M13 5G (Midnight Blue, 4GB, 64GB Storage) | 5000mAh Battery | Upto 8GB RAM with RAM Plus",B0B4F1YC3J,"#143 in Electronics (See Top 100 in Electronics)
#21 in Smartphones",16 July 2022,9 x 77 x 165 Millimeters,1 Count,Smartphone,20862.0,11999.0,4.1
"OPPO A74 5G (Fluid Black, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",B08VB2CMR3,"#221 in Electronics (See Top 100 in Electronics)
#30 in Smartphones",24 April 2021,16.3 x 7.5 x 0.8 Centimeters,1 Count,Smartphones,33562.0,15490.0,4.2
"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio | Blue",B09V2PZDX8,"#153 in Electronics (See Top 100 in Electronics)
#2 in Basic Mobiles",8 March 2022,11.5 x 5 x 1.4 Centimeters,1 Piece,Feature Phone,1474.0,1299.0,3.8
"(Renewed) Oppo A31 (Mystery Black, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",B08CC2LPPV,,4 July 2020,16.4 x 0.8 x 7.6 Centimeters,1.00 count,,292.0,N.A,3.8
"Nothing Phone (1) 5G (Black, 128 GB) (8 GB RAM)",B0BKZVF7VV,"#1,553 in Electronics (See Top 100 in Electronics)
#147 in Smartphones",31 October 2022,17 x 16 x 1 Centimeters,,,57.0,29290.0,4.0
"(Renewed) Redmi A1 (Black, 2GB RAM, 32GB Storage) | Segment Best AI Dual Cam | 5000mAh Battery | Leather Texture Design | Android 12",B0BPLT4XRN,"#28,046 in Electronics (See Top 100 in Electronics)
#1,104 in Smartphones",9 December 2022,16.5 x 0.9 x 7.7 Centimeters,192 Grams,Smartphone,3.0,N.A,2.5
"OPPO A74 5G (Fantastic Purple,6GB RAM,128GB Storage) with No Cost EMI/Additional Exchange Offers",B08VB34KJ1,"#73 in Electronics (See Top 100 in Electronics)
#11 in Smartphones",24 April 2021,16.3 x 7.5 x 0.8 Centimeters,1 Count,Smartphones,33562.0,15490.0,4.2
Redmi Note 12 5G Matte Black 4GB RAM 128GB ROM | 1st Phone with 120Hz Super AMOLED and Snapdragon® 4 Gen 1 | 48MP AI Triple Camera,B0BQ3MMPX6,"#807 in Electronics (See Top 100 in Electronics)
#84 in Smartphones",6 January 2023,16.6 x 0.8 x 7.6 Centimeters,188 Grams,Smartphone,683.0,17999.0,3.4
"OPPO A31 (Mystery Black, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",B08444S68L,"#348 in Electronics (See Top 100 in Electronics)
#48 in Smartphones",22 January 2020,16.4 x 0.8 x 7.6 Centimeters,1 U,Smartphone,58867.0,12490.0,4.2
"Redmi Note 11 (Horizon Blue, 6GB RAM, 128GB Storage)|90Hz FHD+ AMOLED Display | Qualcomm® Snapdragon™ 680-6nm | 33W Charger Included",B09QSBF2T7,"#186 in Electronics (See Top 100 in Electronics)
#26 in Smartphones",11 January 2022,16 x 0.8 x 7.4 Centimeters,179 Grams,Smartphone,52247.0,14499.0,4.1
"Nokia 5310 Dual SIM Keypad Phone with MP3 Player, Wireless FM Radio and Rear Camera with Flash | White/Red",B08BG6FQ2S,"#581 in Electronics (See Top 100 in Electronics)
#5 in Basic Mobiles",23 June 2020,12.4 x 5.3 x 1.3 Centimeters,1 Piece,Feature Phone,25904.0,3449.0,4.0
"Nokia C01 Plus 4G, 5.45” HD+ Screen, Selfie Camera with Front Flash | 32GB Storage (Blue)",B09VCBGWFZ,"#2,289 in Electronics (See Top 100 in Electronics)
#193 in Smartphones",11 March 2022,14.8 x 7.2 x 0.9 Centimeters,1 Count,Smartphones,3198.0,5990.0,3.4
"Nokia 5310 Dual SIM Keypad Phone with MP3 Player, Wireless FM Radio and Rear Camera with Flash | White/Red",B08BG6FQ2S,"#581 in Electronics (See Top 100 in Electronics)
#5 in Basic Mobiles",23 June 2020,12.4 x 5.3 x 1.3 Centimeters,1 Piece,Feature Phone,25904.0,3449.0,4.0
"Nokia 5310 Dual SIM Keypad Phone with MP3 Player, Wireless FM Radio and Rear Camera with Flash | Black/Red",B08BG8L72Q,"#1,181 in Electronics (See Top 100 in Electronics)
#17 in Basic Mobiles",23 June 2020,12.4 x 5.3 x 1.3 Centimeters,1 Piece,Feature Phone,25904.0,3449.0,4.0
"(Renewed) Nokia G21 Android Smartphone, Dual SIM, 3-Day Battery Life, 6GB RAM + 128GB Storage, 50MP Triple AI Camera | Nordic Blue",B09ZNPTM3T,"#52 in Amazon Renewed (See Top 100 in Amazon Renewed)
#15 in Like new products by Amazon Renewed
#27 in Valentine's Day (Amazon Renewed)
#414 in Smartphones",6 May 2022,16.5 x 7.5 x 0.8 Centimeters,1 Count,Smartphones,79.0,N.A,3.7
"(Renewed) Nokia 5310 (Dual Sim, Black/Red)",B08C4NT4S8,"#119 in Amazon Renewed (See Top 100 in Amazon Renewed)
#31 in Renewed Electronics
#32 in Like new products by Amazon Renewed
#141 in Basic Mobiles",1 July 2020,12.4 x 1.3 x 5.2 Centimeters,,Phone,754.0,N.A,3.6
"Nokia G21 Android Smartphone, Dual SIM, 3-Day Battery Life, 6GB RAM + 128GB Storage, 50MP Triple AI Camera | Nordic Blue",B09Y99VSSJ,"#1,014 in Electronics (See Top 100 in Electronics)
#102 in Smartphones",19 April 2022,16.5 x 7.5 x 0.8 Centimeters,1 Count,Smartphones,3331.0,13499.0,4.1
"Redmi Note 11 (Horizon Blue, 6GB RAM, 128GB Storage)|90Hz FHD+ AMOLED Display | Qualcomm® Snapdragon™ 680-6nm | 33W Charger Included",B09QSBF2T7,"#186 in Electronics (See Top 100 in Electronics)
#26 in Smartphones",11 January 2022,16 x 0.8 x 7.4 Centimeters,179 Grams,Smartphone,52247.0,14499.0,4.1
"Nokia C01 Plus 4G, 5.45” HD+ Screen, Selfie Camera with Front Flash | 32GB Storage (Blue)",B09VCBGWFZ,"#2,289 in Electronics (See Top 100 in Electronics)
#193 in Smartphones",11 March 2022,14.8 x 7.2 x 0.9 Centimeters,1 Count,Smartphones,3198.0,5990.0,3.4
"Nokia G21 Android Smartphone, Dual SIM, 3-Day Battery Life, 6GB RAM + 128GB Storage, 50MP Triple AI Camera | Nordic Blue",B09Y99VSSJ,"#1,014 in Electronics (See Top 100 in Electronics)
#102 in Smartphones",19 April 2022,16.5 x 7.5 x 0.8 Centimeters,1 Count,Smartphones,3331.0,13499.0,4.1
"Nokia 5310 Dual SIM Keypad Phone with MP3 Player, Wireless FM Radio and Rear Camera with Flash | Black/Red",B08BG8L72Q,"#1,181 in Electronics (See Top 100 in Electronics)
#17 in Basic Mobiles",23 June 2020,12.4 x 5.3 x 1.3 Centimeters,1 Piece,Feature Phone,25904.0,3449.0,4.0
"(Renewed) Nokia 5310 (Dual Sim, White/Red)",B08CB2G357,"#119 in Amazon Renewed (See Top 100 in Amazon Renewed)
#31 in Renewed Electronics
#32 in Like new products by Amazon Renewed
#141 in Basic Mobiles",3 July 2020,12.4 x 1.3 x 5.2 Centimeters,,Phone,754.0,N.A,3.6
"Nokia 105 Dual SIM, Keypad Mobile Phone with Wireless FM Radio | Blue",B09V2Q6Q67,"#1,782 in Electronics (See Top 100 in Electronics)
#31 in Basic Mobiles",8 March 2022,11.5 x 5 x 1.4 Centimeters,1 Pack,Feature Phone,124914.0,1449.0,4.0
"Nokia 110 Dual sim Keypad Phone with Wireless FM Radio, Earphone, Snake Game, Auto Call Recording | Cyan",B0B2LQM58B,"#1,438 in Electronics (See Top 100 in Electronics)
#25 in Basic Mobiles",28 May 2022,11.5 x 5 x 1.4 Centimeters,1 Piece,Feature Phone,16280.0,1598.0,3.8
"Nokia 110 Dual sim Keypad Phone with Wireless FM Radio, Earphone, Snake Game, Auto Call Recording | Cyan",B0B2LQM58B,"#1,438 in Electronics (See Top 100 in Electronics)
#25 in Basic Mobiles",28 May 2022,11.5 x 5 x 1.4 Centimeters,1 Piece,Feature Phone,16280.0,1598.0,3.8
"Nokia 105 Dual SIM, Keypad Mobile Phone with Wireless FM Radio | Blue",B09V2Q6Q67,"#1,782 in Electronics (See Top 100 in Electronics)
#31 in Basic Mobiles",8 March 2022,11.5 x 5 x 1.4 Centimeters,1 Pack,Feature Phone,124914.0,1449.0,4.0
"Vivo Y16 (Drizzling Gold, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",B07WDKLN4T,"#2,082 in Electronics (See Top 100 in Electronics)
#181 in Smartphones",26 September 2022,16.4 x 7.6 x 0.8 Centimeters,1 Count,Mobile,56.0,9999.0,4.0
"Vivo Y16 (Drizzling Gold, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",B07WDKLN4T,"#2,082 in Electronics (See Top 100 in Electronics)
#181 in Smartphones",26 September 2022,16.4 x 7.6 x 0.8 Centimeters,1 Count,Mobile,56.0,9999.0,4.0
"Redmi 10 Power (Power Black, 8GB RAM, 128GB Storage)",B09Y64H8VS,"#38 in Electronics (See Top 100 in Electronics)
#6 in Smartphones",18 April 2022,17 x 0.9 x 7.7 Centimeters,203 Grams,,492.0,11999.0,4.1
"Redmi 10 Power (Power Black, 8GB RAM, 128GB Storage)",B09Y64H8VS,"#38 in Electronics (See Top 100 in Electronics)
#6 in Smartphones",18 April 2022,17 x 0.9 x 7.7 Centimeters,203 Grams,,492.0,11999.0,4.1
